Weight,Height,Age,Gender,Activity level,BMI_Category,Weight_kg,BMI,BMI_Detailed,Weight_Category,Activity_Score,Calories
87.0,5.2,29.0,Female,Lightly Active,Obese,87.0,34.63240407743142,Obese,Very_Heavy,2.0,2137.57
75.0,5.0,35.0,Female,Very Active,Obese,75.0,32.29173125012917,Obese,Heavy,4.0,2357.21
75.0,5.2,49.0,Female,Sedentary,Overweight,75.0,29.855520756406396,Overweight,Heavy,1.0,1601.52
95.0,5.4,38.0,Female,Sedentary,Obese,95.0,35.06760938228475,Obese,Very_Heavy,1.0,1953.24
91.0,5.1,34.0,Female,Sedentary,Obese,91.0,37.65920214996481,Obese,Very_Heavy,1.0,1860.66
79.0,5.4,25.0,Female,Sedentary,Overweight,79.0,29.16148569684732,Overweight,Heavy,1.0,1839.24
75.5,5.4,37.0,Female,Lightly Active,Overweight,75.5,27.86952114065788,Overweight,Heavy,2.0,1976.84
67.0,5.2,35.0,Female,Lightly Active,Overweight,67.0,26.67093187572305,Overweight,Heavy,2.0,1821.32
83.0,5.1,32.0,Female,Moderately Active,Obese,83.0,34.34850305985802,Obese,Very_Heavy,3.0,2294.85
118.5,5.3,34.0,Female,Lightly Active,Obese,118.21875,43.56732230973144,Obese,Extreme,2.0,2558.65
87.5,5.7,36.0,Male,Moderately Active,Overweight,87.5,28.988678407574653,Overweight,Very_Heavy,3.0,2768.07
76.0,5.4,38.0,Female,Sedentary,Overweight,76.0,28.0540875058278,Overweight,Heavy,1.0,1725.24
60.0,5.4,31.0,Female,Sedentary,Normal,60.0,22.14796382039037,Normal,Normal,1.0,1575.24
108.0,5.3,50.5,Female,Lightly Active,Obese,108.0,41.38491723049662,Obese,Extreme,2.0,2304.71
75.0,5.6,33.0,Female,Lightly Active,Overweight,75.0,25.74277044812593,Overweight,Heavy,2.0,2049.85
65.0,5.4,35.0,Female,Sedentary,Normal,65.0,23.993627472089564,Normal,Normal,1.0,1611.24
54.0,5.0,30.0,Female,Lightly Active,Normal,54.0,23.250046500093,Normal,Normal,2.0,1624.56
98.0,5.7,20.0,Female,Lightly Active,Obese,98.0,32.46731981648361,Obese,Very_Heavy,2.0,2481.67
70.0,5.4,34.0,Female,Moderately Active,Overweight,70.0,25.83929112378876,Overweight,Heavy,3.0,2166.43
85.0,5.0,44.0,Female,Sedentary,Obese,85.0,36.597295416813054,Obese,Very_Heavy,1.0,1705.8
88.0,5.6,36.0,Female,Lightly Active,Obese,88.0,30.204850659134426,Obese,Very_Heavy,2.0,2207.97
87.2,5.1,29.0,Female,Lightly Active,Obese,87.2,36.08662008216409,Obese,Very_Heavy,2.0,2114.13
95.0,5.1,33.0,Male,Lightly Active,Obese,95.0,39.31455169501822,Obese,Very_Heavy,2.0,2422.13
70.0,5.2,32.0,Female,Moderately Active,Overweight,70.0,27.865152705979305,Overweight,Heavy,3.0,2122.88
106.0,5.3,24.0,Female,Sedentary,Obese,106.0,40.618529874376314,Obese,Extreme,1.0,2146.38
102.0,5.4,37.0,Female,Lightly Active,Obese,102.0,37.651538494663626,Obese,Extreme,2.0,2341.21
75.0,5.2,36.0,Female,Sedentary,Overweight,75.0,29.855520756406396,Overweight,Heavy,1.0,1679.52
77.0,5.4,47.0,Female,Lightly Active,Overweight,77.0,28.423220236167637,Overweight,Heavy,2.0,1928.71
94.0,5.5,26.0,Female,Moderately Active,Obese,94.0,33.4481844353955,Obese,Very_Heavy,3.0,2629.96
72.8,5.2,30.0,Female,Moderately Active,Overweight,72.8,28.979758814218474,Overweight,Heavy,3.0,2181.78
74.0,5.1,29.0,Female,Lightly Active,Obese,74.0,30.62396658348787,Obese,Heavy,2.0,1932.63
76.0,5.6,27.0,Female,Lightly Active,Overweight,76.0,26.086007387434275,Overweight,Heavy,2.0,2104.85
86.0,5.3,31.0,Female,Moderately Active,Obese,86.0,32.95465631317324,Obese,Very_Heavy,3.0,2408.16
62.0,5.3,37.0,Female,Moderately Active,Normal,62.0,23.758008039729543,Normal,Normal,3.0,1989.66
86.0,5.6,30.0,Female,Moderately Active,Overweight,86.0,29.518376780517734,Overweight,Very_Heavy,3.0,2504.49
73.0,5.7,29.0,Male,Moderately Active,Normal,73.0,24.18484027146228,Normal,Heavy,3.0,2597.57
84.0,5.5,25.0,Female,Sedentary,Overweight,84.0,29.889866942268316,Overweight,Very_Heavy,1.0,1922.1
66.0,5.3,43.0,Female,Lightly Active,Overweight,66.0,25.290782751970156,Overweight,Heavy,2.0,1778.77
62.0,5.3,21.0,Female,Lightly Active,Normal,62.0,23.758008039729543,Normal,Normal,2.0,1875.02
89.0,5.3,24.0,Female,Moderately Active,Obese,89.0,34.104237347353695,Obese,Very_Heavy,3.0,2508.91
95.0,5.6,31.0,Female,Sedentary,Obese,95.0,32.60750923429284,Obese,Very_Heavy,1.0,2040.96
85.0,5.2,36.0,Female,Moderately Active,Obese,85.0,33.83625685726058,Obese,Very_Heavy,3.0,2324.38
98.15,5.4,38.0,Female,Lightly Active,Obese,98.15,36.230377482855246,Obese,Very_Heavy,2.0,2281.4
69.7,5.1,30.0,Female,Lightly Active,Overweight,69.7,28.84446582255547,Overweight,Heavy,2.0,1866.63
60.0,5.3,21.0,Female,Sedentary,Normal,60.0,22.991620683609234,Normal,Normal,1.0,1612.38
78.0,5.2,32.0,Female,Moderately Active,Obese,78.0,31.049741586662652,Obese,Heavy,3.0,2246.88
96.3,4.75,33.0,Female,Sedentary,Obese,96.3,43.56732230973144,Obese,Very_Heavy,1.0,1850.25
64.5,5.1,32.0,Female,Moderately Active,Overweight,64.5,26.69251141398605,Overweight,Normal,3.0,2008.1
56.2,5.0,26.0,Female,Sedentary,Normal,56.2,24.197270616763454,Normal,Normal,1.0,1468.2
83.0,5.9,25.0,Female,Lightly Active,Overweight,83.0,25.665169910569,Overweight,Very_Heavy,2.0,2293.43
89.85,5.2,32.0,Female,Sedentary,Obese,89.85,35.76691386617486,Obese,Very_Heavy,1.0,1881.72
88.0,5.3,24.0,Female,Very Active,Obese,88.0,33.72104366929354,Obese,Very_Heavy,4.0,2774.92
79.0,5.3,40.0,Female,Sedentary,Obese,79.0,30.272300566752158,Obese,Heavy,1.0,1726.38
76.0,5.3,33.0,Female,Sedentary,Overweight,76.0,29.122719532571697,Overweight,Heavy,1.0,1732.38
65.5,5.3,42.0,Female,Moderately Active,Overweight,65.5,25.09918591294008,Overweight,Heavy,3.0,2005.16
71.5,5.6,36.0,Female,Sedentary,Normal,71.5,24.54144116054672,Normal,Heavy,1.0,1728.96
69.0,5.3,26.0,Female,Sedentary,Overweight,69.0,26.44036378615062,Overweight,Heavy,1.0,1690.38
91.0,5.3,38.0,Female,Sedentary,Obese,91.0,34.87062470347401,Obese,Very_Heavy,1.0,1882.38
60.0,5.2,36.0,Female,Lightly Active,Normal,60.0,23.884416605125118,Normal,Normal,2.0,1718.2
76.0,5.5,30.0,Female,Sedentary,Overweight,76.0,27.043212947766573,Overweight,Heavy,1.0,1796.1
75.0,5.2,44.0,Female,Moderately Active,Overweight,75.0,29.855520756406396,Overweight,Heavy,3.0,2107.38
80.0,5.2,50.0,Female,Sedentary,Obese,80.0,31.84588880683349,Obese,Heavy,1.0,1655.52
76.6,5.4,37.0,Female,Moderately Active,Overweight,76.6,28.2755671440317,Overweight,Heavy,3.0,2245.49
54.0,5.3,48.0,Female,Moderately Active,Normal,54.0,20.69245861524831,Normal,Normal,3.0,1780.41
60.0,4.75,24.0,Female,Lightly Active,Obese,60.0,28.624249307593722,Overweight,Normal,2.0,1682.83
102.0,5.5,31.0,Female,Sedentary,Obese,102.0,36.29483842989724,Obese,Extreme,1.0,2102.1
90.0,5.8,38.0,Male,Sedentary,Overweight,90.0,28.79762002092375,Overweight,Very_Heavy,1.0,2183.88
75.0,5.4,24.0,Female,Lightly Active,Overweight,75.0,27.68495477548796,Overweight,Heavy,2.0,2059.34
69.0,5.4,31.0,Female,Lightly Active,Overweight,69.0,25.470158393448923,Overweight,Heavy,2.0,1928.71
70.0,5.6,41.0,Female,Lightly Active,Normal,70.0,24.0265857515842,Normal,Heavy,2.0,1926.1
85.0,5.3,33.0,Female,Lightly Active,Obese,85.0,32.57146263511308,Obese,Very_Heavy,2.0,2108.77
114.0,5.6,32.0,Female,Lightly Active,Obese,114.0,39.12901108115141,Obese,Extreme,2.0,2592.98
66.5,5.023,25.0,Female,Lightly Active,Overweight,66.5,28.370393768247844,Overweight,Heavy,2.0,1836.84
84.0,5.6,26.0,Female,Lightly Active,Overweight,84.0,28.831902901901042,Overweight,Very_Heavy,2.0,2221.72
108.0,5.8,34.0,Female,Lightly Active,Obese,108.0,34.5571440251085,Obese,Extreme,2.0,2549.11
94.0,5.6,32.0,Female,Sedentary,Obese,94.0,32.2642722949845,Obese,Very_Heavy,1.0,2022.96
92.0,5.1,47.0,Female,Sedentary,Obese,92.0,38.073039536228166,Obese,Very_Heavy,1.0,1794.66
75.0,5.7,32.0,Female,Lightly Active,Normal,75.0,24.847438635063988,Normal,Heavy,2.0,2082.92
118.5,5.8,40.0,Male,Sedentary,Obese,118.21875,37.916866360882935,Obese,Extreme,1.0,2510.5
58.5,5.1,27.0,Female,Lightly Active,Normal,58.5,24.20948709640595,Normal,Normal,2.0,1733.26
68.3,5.1,21.0,Female,Sedentary,Overweight,68.3,28.265093481786778,Overweight,Heavy,1.0,1666.26
71.0,5.8,42.0,Male,Lightly Active,Normal,71.0,22.71812246095096,Normal,Heavy,2.0,2213.61
71.0,5.4,35.0,Female,Moderately Active,Overweight,71.0,26.2084238541286,Overweight,Heavy,3.0,2174.18
60.0,5.15,31.0,Female,Sedentary,Normal,60.0,24.350443020174687,Normal,Normal,1.0,1518.09
77.0,5.05,26.0,Female,Moderately Active,Obese,77.0,32.49960208162528,Obese,Heavy,3.0,2233.59
75.0,5.3,38.0,Female,Lightly Active,Overweight,75.0,28.73952585451154,Overweight,Heavy,2.0,1936.89
85.0,5.4,24.0,Female,Sedentary,Obese,85.0,31.376282078886355,Obese,Very_Heavy,1.0,1917.24
76.0,5.2,32.0,Female,Sedentary,Obese,76.0,30.253594366491814,Obese,Heavy,1.0,1715.52
64.0,5.3,24.0,Female,Sedentary,Normal,64.0,24.52439539584985,Normal,Normal,1.0,1642.38
78.0,5.5,35.0,Female,Lightly Active,Overweight,78.0,27.75487644639201,Overweight,Heavy,2.0,2051.16
73.0,5.2,29.0,Female,Very Active,Overweight,73.0,29.059373536235558,Overweight,Heavy,4.0,2440.18
60.0,5.0,27.0,Female,Moderately Active,Overweight,60.0,25.83338500010333,Overweight,Normal,3.0,1947.58
54.9,5.4,32.0,Female,Moderately Active,Normal,54.9,20.265386895657187,Normal,Normal,3.0,1947.89
80.0,5.6,40.0,Female,Sedentary,Overweight,80.0,27.45895514466766,Overweight,Heavy,1.0,1806.96
104.0,5.3,42.0,Female,Lightly Active,Obese,104.0,39.852142518256,Obese,Extreme,2.0,2308.14
94.0,5.1,34.0,Male,Lightly Active,Obese,94.0,38.900714308754864,Obese,Very_Heavy,2.0,2401.51
95.0,5.3,37.0,Female,Lightly Active,Obese,95.0,36.40339941571462,Obese,Very_Heavy,2.0,2218.77
85.0,5.5,35.0,Female,Lightly Active,Obese,85.0,30.245698691581037,Obese,Very_Heavy,2.0,2147.41
118.5,5.949999999999999,43.0,Female,Lightly Active,Underweight,118.21875,36.02918958774386,Obese,Extreme,2.0,2667.04
117.0,5.51,33.0,Female,Sedentary,Obese,117.0,41.48133631822812,Obese,Extreme,1.0,2272.39
88.45,5.4,29.0,Female,Sedentary,Obese,88.45,32.6497899985588,Obese,Very_Heavy,1.0,1928.64
64.0,5.05,35.0,Female,Sedentary,Overweight,64.0,27.012656275636594,Overweight,Normal,1.0,1519.23
66.0,5.4,31.0,Female,Moderately Active,Normal,66.0,24.362760202429406,Normal,Heavy,3.0,2127.68
69.0,5.4,50.5,Female,Very Active,Overweight,69.0,25.470158393448923,Overweight,Heavy,4.0,2251.47
66.95,5.2,24.0,Female,Very Active,Overweight,66.95,26.651028195218778,Overweight,Heavy,4.0,2378.95
69.0,5.4,37.0,Female,Lightly Active,Overweight,69.0,25.470158393448923,Overweight,Heavy,2.0,1887.46
69.0,5.2,33.0,Female,Moderately Active,Overweight,69.0,27.467079095893887,Overweight,Heavy,3.0,2099.63
89.0,5.2,33.0,Female,Moderately Active,Obese,89.0,35.428551297602255,Obese,Very_Heavy,3.0,2409.63
75.0,5.5,26.0,Female,Lightly Active,Overweight,75.0,26.687381198453856,Overweight,Heavy,2.0,2071.78
93.0,5.8,40.0,Female,Sedentary,Overweight,93.0,29.757540688287875,Overweight,Very_Heavy,1.0,2008.68
78.5,5.4,30.0,Female,Lightly Active,Overweight,78.5,28.976919331677397,Overweight,Heavy,2.0,2066.21
73.0,5.6,32.0,Female,Sedentary,Overweight,73.0,25.05629656950924,Overweight,Heavy,1.0,1770.96
88.0,5.5,30.0,Female,Lightly Active,Obese,88.0,31.31319393951919,Obese,Very_Heavy,2.0,2223.03
94.0,5.7,33.0,Female,Moderately Active,Obese,94.0,31.142123089280197,Obese,Very_Heavy,3.0,2634.77
87.0,5.7,31.0,Female,Lightly Active,Overweight,87.0,28.823028816674224,Overweight,Very_Heavy,2.0,2254.79
77.0,5.3,30.0,Female,Sedentary,Overweight,77.0,29.50591321063185,Overweight,Heavy,1.0,1762.38
70.0,5.2,36.0,Female,Sedentary,Overweight,70.0,27.865152705979305,Overweight,Heavy,1.0,1619.52
78.0,5.2,28.0,Female,Lightly Active,Obese,78.0,31.049741586662652,Obese,Heavy,2.0,2020.7
66.95,5.2,23.0,Female,Moderately Active,Overweight,66.95,26.651028195218778,Overweight,Heavy,3.0,2145.36
76.0,5.4,38.0,Female,Sedentary,Overweight,76.0,28.0540875058278,Overweight,Heavy,1.0,1725.24
79.0,5.3,39.0,Female,Sedentary,Obese,79.0,30.272300566752158,Obese,Heavy,1.0,1732.38
79.83,5.3,24.0,Female,Lightly Active,Obese,79.83,30.590351319542084,Obese,Heavy,2.0,2099.56
58.0,5.2,37.0,Female,Moderately Active,Normal,58.0,23.08826938495428,Normal,Normal,3.0,1898.13
62.5,5.7,20.0,Female,Moderately Active,Normal,62.5,20.70619886255332,Normal,Normal,3.0,2247.27
86.0,5.7,34.0,Female,Lightly Active,Overweight,86.0,28.491729634873373,Overweight,Very_Heavy,2.0,2220.42
78.0,5.4,25.0,Female,Moderately Active,Overweight,78.0,28.79235296650748,Overweight,Heavy,3.0,2360.18
79.0,5.6,33.0,Female,Sedentary,Overweight,79.0,27.115718205359315,Overweight,Heavy,1.0,1836.96
81.0,5.0,50.5,Female,Lightly Active,Obese,81.0,34.875069750139495,Obese,Very_Heavy,2.0,1854.88
93.7,5.4,28.0,Female,Sedentary,Obese,93.7,34.58773683284296,Obese,Very_Heavy,1.0,1997.64
79.0,5.2,45.0,Female,Moderately Active,Obese,79.0,31.44781519674807,Obese,Heavy,3.0,2161.63
66.8,5.4,27.0,Female,Lightly Active,Normal,66.8,24.658066386701275,Normal,Heavy,2.0,1925.96
56.0,4.75,29.0,Female,Lightly Active,Overweight,56.0,26.715966020420808,Overweight,Normal,2.0,1593.45
78.0,5.3,44.0,Female,Lightly Active,Overweight,78.0,29.889106888692005,Overweight,Heavy,2.0,1936.89
85.0,5.3,33.0,Female,Moderately Active,Obese,85.0,32.57146263511308,Obese,Very_Heavy,3.0,2377.16
57.0,5.4,31.0,Female,Sedentary,Normal,57.0,21.04056562937085,Normal,Normal,1.0,1539.24
67.0,5.5,22.0,Female,Lightly Active,Normal,67.0,23.84072720395211,Normal,Heavy,2.0,1989.28
70.0,5.4,30.0,Female,Moderately Active,Overweight,70.0,25.83929112378876,Overweight,Heavy,3.0,2197.43
75.45,5.3,35.0,Female,Lightly Active,Overweight,75.45,28.91196300963861,Overweight,Heavy,2.0,1963.71
71.9,5.5,44.0,Female,Lightly Active,Overweight,71.9,25.58430277558443,Overweight,Heavy,2.0,1905.41
77.0,5.2,28.0,Female,Lightly Active,Obese,77.0,30.651667976577233,Obese,Heavy,2.0,2006.95
76.0,5.2,27.0,Female,Sedentary,Obese,76.0,30.253594366491814,Obese,Heavy,1.0,1745.52
75.0,5.0,25.0,Female,Sedentary,Obese,75.0,32.29173125012917,Obese,Heavy,1.0,1699.8
63.0,5.3,32.0,Female,Lightly Active,Normal,63.0,24.141201717789695,Normal,Normal,2.0,1813.14
61.0,5.1,43.0,Female,Sedentary,Overweight,61.0,25.244080562064326,Overweight,Normal,1.0,1446.66
86.0,5.4,34.0,Female,Sedentary,Obese,86.0,31.745414809226194,Obese,Very_Heavy,1.0,1869.24
90.0,5.4,43.0,Female,Very Active,Obese,90.0,33.22194573058555,Obese,Very_Heavy,4.0,2678.41
75.0,5.2,33.0,Female,Lightly Active,Overweight,75.0,29.855520756406396,Overweight,Heavy,2.0,1945.07
63.0,5.3,28.0,Female,Lightly Active,Normal,63.0,24.141201717789695,Normal,Normal,2.0,1840.64
76.0,5.1,34.0,Female,Lightly Active,Obese,76.0,31.45164135601457,Obese,Heavy,2.0,1925.76
82.4,5.6,25.0,Female,Sedentary,Overweight,82.4,28.28272379900769,Overweight,Very_Heavy,1.0,1925.76
110.0,5.8,33.0,Male,Sedentary,Obese,110.0,35.197091136684584,Obese,Extreme,1.0,2453.88
80.2,5.5,35.0,Female,Sedentary,Overweight,80.2,28.53770629487999,Overweight,Very_Heavy,1.0,1816.5
63.6,5.1,37.0,Female,Lightly Active,Overweight,63.6,26.320057766349038,Overweight,Normal,2.0,1734.63
65.2,5.2,28.0,Female,Lightly Active,Overweight,65.2,25.954399377569295,Overweight,Heavy,2.0,1844.7
118.5,5.11,27.0,Female,Moderately Active,Obese,118.21875,43.56732230973144,Obese,Extreme,3.0,2882.45
68.0,5.7,27.0,Female,Sedentary,Normal,68.0,22.528344362458014,Normal,Heavy,1.0,1763.82
80.0,5.6,24.0,Female,Lightly Active,Overweight,80.0,27.45895514466766,Overweight,Heavy,2.0,2180.47
118.5,5.3,42.0,Female,Sedentary,Obese,118.21875,43.56732230973144,Obese,Extreme,1.0,2185.0
84.0,5.1,31.0,Female,Sedentary,Obese,84.0,34.76234044612137,Obese,Very_Heavy,1.0,1794.66
73.0,5.2,31.0,Female,Lightly Active,Overweight,73.0,29.059373536235558,Overweight,Heavy,2.0,1931.32
69.0,5.1,32.0,Female,Moderately Active,Overweight,69.0,28.554779652171124,Overweight,Heavy,3.0,2077.85
72.0,5.2,28.0,Female,Sedentary,Overweight,72.0,28.66129992615014,Overweight,Heavy,1.0,1691.52
68.0,5.4,50.5,Female,Very Active,Overweight,68.0,25.101025663109084,Overweight,Heavy,4.0,2234.22
60.78,5.3,39.0,Female,Lightly Active,Normal,60.78,23.290511752496155,Normal,Normal,2.0,1734.49
105.0,5.6,33.0,Male,Sedentary,Obese,105.0,36.039878627376304,Obese,Extreme,1.0,2348.16
81.0,5.3,28.0,Female,Moderately Active,Obese,81.0,31.038687922872466,Obese,Very_Heavy,3.0,2353.91
95.0,5.2,33.0,Female,Sedentary,Obese,95.0,37.81699295811477,Obese,Very_Heavy,1.0,1937.52
80.0,5.6,37.0,Female,Sedentary,Obese,80.0,27.45895514466766,Overweight,Heavy,1.0,1824.96
67.2,5.2,21.0,Female,Moderately Active,Overweight,67.2,26.750546597740133,Overweight,Heavy,3.0,2164.73
75.75,5.6,37.0,Female,Lightly Active,Overweight,75.75,26.00019815260719,Overweight,Heavy,2.0,2032.66
88.0,5.2,50.5,Female,Lightly Active,Obese,88.0,35.030477687516836,Obese,Very_Heavy,2.0,2003.51
80.0,5.2,46.0,Female,Lightly Active,Obese,80.0,31.84588880683349,Obese,Heavy,2.0,1924.45
87.7,5.3,27.0,Female,Very Active,Obese,87.7,33.606085565875496,Obese,Very_Heavy,4.0,2743.87
118.5,5.4,26.0,Female,Sedentary,Obese,118.21875,43.56732230973144,Obese,Extreme,1.0,2303.86
69.0,5.6,32.0,Female,Lightly Active,Normal,69.0,23.683348812275856,Normal,Heavy,2.0,1974.22
79.0,5.6,30.0,Female,Sedentary,Overweight,79.0,27.115718205359315,Overweight,Heavy,1.0,1854.96
63.0,5.6,30.0,Female,Sedentary,Normal,63.0,21.62392717642578,Normal,Normal,1.0,1662.96
87.0,5.7,43.0,Female,Sedentary,Overweight,87.0,28.823028816674224,Overweight,Very_Heavy,1.0,1895.82
107.5,5.6,41.0,Female,Sedentary,Obese,107.5,36.89797097564717,Obese,Extreme,1.0,2130.96
118.5,5.0,38.0,Female,Moderately Active,Obese,118.21875,43.56732230973144,Obese,Extreme,3.0,2764.72
112.0,5.8,27.0,Female,Lightly Active,Obese,112.0,35.83703824826067,Obese,Extreme,2.0,2652.24
73.0,5.3,32.0,Female,Very Active,Overweight,73.0,27.973138498391233,Overweight,Heavy,4.0,2447.17
63.0,5.3,32.0,Female,Sedentary,Normal,63.0,24.141201717789695,Normal,Normal,1.0,1582.38
80.0,5.3,42.0,Female,Very Active,Obese,80.0,30.655494244812314,Obese,Heavy,4.0,2481.67
89.0,5.6,22.0,Female,Moderately Active,Obese,89.0,30.54808759844277,Obese,Very_Heavy,3.0,2612.99
90.0,5.4,24.0,Female,Sedentary,Obese,90.0,33.22194573058555,Obese,Very_Heavy,1.0,1977.24
74.0,5.0,25.0,Female,Sedentary,Obese,74.0,31.861174833460776,Obese,Heavy,1.0,1687.8
86.0,5.2,37.0,Female,Sedentary,Obese,86.0,34.234330467346,Obese,Very_Heavy,1.0,1805.52
73.55,5.3,25.0,Female,Sedentary,Overweight,73.55,28.183895021324318,Overweight,Heavy,1.0,1750.98
68.0,5.3,39.0,Female,Moderately Active,Overweight,68.0,26.057170108090464,Overweight,Heavy,3.0,2067.16
84.3,5.5,42.0,Female,Lightly Active,Overweight,84.3,29.996616467062132,Overweight,Very_Heavy,2.0,2089.66
76.0,5.3,43.0,Female,Moderately Active,Overweight,76.0,29.122719532571697,Overweight,Heavy,3.0,2160.16
102.0,5.4,28.0,Female,Very Active,Obese,102.0,37.651538494663626,Obese,Extreme,4.0,3014.78
90.0,5.3,24.0,Female,Moderately Active,Obese,90.0,34.48743102541385,Obese,Very_Heavy,3.0,2524.41
72.0,5.2,33.0,Female,Moderately Active,Overweight,72.0,28.66129992615014,Overweight,Heavy,3.0,2146.13
77.0,5.4,34.0,Female,Very Active,Overweight,77.0,28.423220236167637,Overweight,Heavy,4.0,2531.78
82.0,5.4,33.0,Female,Sedentary,Obese,82.0,30.268883887866835,Obese,Very_Heavy,1.0,1827.24
73.0,5.2,35.0,Female,Sedentary,Overweight,73.0,29.059373536235558,Overweight,Heavy,1.0,1661.52
106.0,5.9,41.0,Female,Moderately Active,Obese,106.0,32.77720494602788,Obese,Extreme,3.0,2817.82
72.0,5.0,41.0,Female,Sedentary,Obese,72.0,31.000062000123997,Obese,Heavy,1.0,1567.8
87.0,5.3,24.0,Female,Lightly Active,Obese,87.0,33.33784999123339,Obese,Very_Heavy,2.0,2198.14
99.0,5.3,41.0,Female,Lightly Active,Obese,99.0,37.93617412795523,Obese,Very_Heavy,2.0,2246.27
118.5,5.9,32.0,Female,Sedentary,Obese,118.21875,36.64244137834249,Obese,Extreme,1.0,2382.16
83.0,5.6,34.0,Female,Lightly Active .,Overweight,83.0,28.488665962592695,Overweight,Very_Heavy,,1878.96
118.5,5.7,17.0,Female,Sedentary,Obese,118.21875,39.2589530434011,Obese,Extreme,1.0,2426.45
85.0,5.1,36.0,Female,Lightly Active,Obese,85.0,35.17617783238472,Obese,Very_Heavy,2.0,2035.76
81.0,5.4,29.0,Female,Lightly Active,Overweight,81.0,29.899751157526996,Overweight,Very_Heavy,2.0,2107.46
74.0,5.2,38.0,Female,Lightly Active,Overweight,74.0,29.457447146320977,Overweight,Heavy,2.0,1896.95
73.0,5.4,25.0,Female,Very Active,Overweight,73.0,26.946689314808282,Overweight,Heavy,4.0,2540.41
87.0,5.4,44.0,Male,Moderately Active,Obese,87.0,32.11454753956603,Obese,Very_Heavy,3.0,2609.74
81.5,5.7,26.0,Female,Sedentary,Overweight,81.5,27.000883316769535,Overweight,Very_Heavy,1.0,1931.82
79.0,5.7,30.0,Female,Lightly Active,Overweight,79.0,26.1726353622674,Overweight,Heavy,2.0,2151.67
89.0,5.5,28.0,Female,Very Active,Obese,89.0,31.66902568883191,Obese,Very_Heavy,4.0,2823.39
83.0,5.4,22.0,Female,Lightly Active,Obese,83.0,30.638016618206677,Obese,Very_Heavy,2.0,2183.09
85.0,5.4,28.0,Female,Moderately Active,Obese,85.0,31.376282078886355,Obese,Very_Heavy,3.0,2445.43
