Weight,Height,Age,Gender,Activity level,Eating preference,BMI_Category
65,5.4,35,Female,Sedentary,Non Vegetarian,Normal
54,5,30,Female,Lightly Active,Eggetarian,Normal
98,5.7,20,Female,Lightly Active,Eggetarian,Obese
70,5.4,34,Female,Moderately Active,Non Vegetarian,Overweight
85,5,44,Female,Sedentary,Non Vegetarian,Obese
88,5.6,36,Female,Lightly Active,Non Vegetarian,Obese
87.2,5.1,29,Female,Lightly Active,Non Vegetarian,Obese
95,5.1,33,Male,Lightly Active,Non Vegetarian,Obese
70,5.2,32,Female,Moderately Active,Vegetarian,Overweight
106,5.3,24,Female,Sedentary,Vegetarian,Obese
108,5.3,50.5,Female,Lightly Active,Eggetarian,Obese
102,5.4,37,Female,Lightly Active,Vegetarian,Obese
75,5.2,36,Female,Sedentary,Vegetarian,Overweight
77,5.4,47,Female,Lightly Active,Vegetarian,Overweight
94,5.5,26,Female,Moderately Active,Non Vegetarian,Obese
72.8,5.2,30,Female,Moderately Active,Eggetarian,Overweight
74,5.1,29,Female,Lightly Active,Non Vegetarian,Obese
76,5.6,27,Female,Lightly Active,Non Vegetarian,Overweight
86,5.3,31,Female,Moderately Active,Non Vegetarian,Obese
62,5.3,37,Female,Moderately Active,Non Vegetarian,Normal
86,5.6,30,Female,Moderately Active,Eggetarian,Overweight
73,5.7,29,Male,Moderately Active,Vegetarian,Normal
84,5.5,25,Female,Sedentary,Vegetarian,Overweight
66,5.3,43,Female,Lightly Active,Eggetarian,Overweight
62,5.3,21,Female,Lightly Active,Vegetarian,Normal
89,5.3,24,Female,Moderately Active,Vegetarian,Obese
95,5.6,31,Female,Sedentary,Eggetarian,Obese
85,5.2,36,Female,Moderately Active,Vegetarian,Obese
98.15,5.4,38,Female,Lightly Active,Eggetarian,Obese
69.7,5.1,30,Female,Lightly Active,Non Vegetarian,Overweight
60,5.3,21,Female,Sedentary,Vegetarian,Normal
78,5.2,32,Female,Moderately Active,Non Vegetarian,Obese
96.3,4.75,33,Female,Sedentary,Eggetarian,Obese
64.5,5.1,32,Female,Moderately Active,Eggetarian,Overweight
56.2,5,26,Female,Sedentary,Non Vegetarian,Normal
83,5.9,25,Female,Lightly Active,Non Vegetarian,Overweight
89.85,5.2,32,Female,Sedentary,Non Vegetarian,Obese
89.85,5.2,32,Female,Sedentary,Non Vegetarian,Obese
75.5,5.4,37,Female,Lightly Active,Eggetarian,Overweight
88,5.3,24,Female,Very Active,Vegetarian,Obese
79,5.3,40,Female,Sedentary,Non Vegetarian,Obese
76,5.3,33,Female,Sedentary,Non Vegetarian,Overweight
89.85,5.2,32,Female,Sedentary,Non Vegetarian,Obese
65.5,5.3,42,Female,Moderately Active,Eggetarian,Overweight
71.5,5.6,36,Female,Sedentary,Vegetarian,Normal
69,5.3,26,Female,Sedentary,Eggetarian,Overweight
91,5.3,38,Female,Sedentary,Vegetarian,Obese
60,5.2,36,Female,Lightly Active,Vegetarian,Normal
76,5.5,30,Female,Sedentary,Vegetarian,Overweight
75,5.2,44,Female,Moderately Active,Eggetarian,Overweight
80,5.2,50,Female,Sedentary,Vegetarian,Obese
76.6,5.4,37,Female,Moderately Active,Non Vegetarian,Overweight
54,5.3,48,Female,Moderately Active,Non Vegetarian,Normal
60,4.75,24,Female,Lightly Active,Vegetarian,Obese
102,5.5,31,Female,Sedentary,Eggetarian,Obese
90,5.8,38,Male,Sedentary,Non Vegetarian,Overweight
75,5.4,24,Female,Lightly Active,Non Vegetarian,Overweight
69,5.4,31,Female,Lightly Active,Non Vegetarian,Overweight
70,5.6,41,Female,Lightly Active,Non Vegetarian,Normal
85,5.3,33,Female,Lightly Active,Vegetarian,Obese
114,5.6,32,Female,Lightly Active,Non Vegetarian,Obese
66.5,5.023,25,Female,Lightly Active,Vegetarian,Overweight
84,5.6,26,Female,Lightly Active,Non Vegetarian,Overweight
108,5.8,34,Female,Lightly Active,Eggetarian,Obese
94,5.6,32,Female,Sedentary,Non Vegetarian,Obese
92,5.1,47,Female,Sedentary,Eggetarian,Obese
75,5.7,32,Female,Lightly Active,Non Vegetarian,Normal
118.5,5.8,40,Male,Sedentary,Non Vegetarian,Obese
58.5,5.1,27,Female,Lightly Active,Non Vegetarian,Normal
68.3,5.1,21,Female,Sedentary,Non Vegetarian,Overweight
71,5.8,42,Male,Lightly Active,Vegan,Normal
71,5.4,35,Female,Moderately Active,Non Vegetarian,Overweight
60,5.15,31,Female,Sedentary,Non Vegetarian,Normal
77,5.05,26,Female,Moderately Active,Vegetarian,Obese
75,5.3,38,Female,Lightly Active,Eggetarian,Overweight
85,5.4,24,Female,Sedentary,Non Vegetarian,Obese
76,5.2,32,Female,Sedentary,Vegetarian,Obese
64,5.3,24,Female,Sedentary,Vegetarian,Normal
78,5.5,35,Female,Lightly Active,Non Vegetarian,Overweight
73,5.2,29,Female,Very Active,Eggetarian,Overweight
60,5,27,Female,Moderately Active,Vegetarian,Overweight
54.9,5.4,32,Female,Moderately Active,Non Vegetarian,Normal
80,5.6,40,Female,Sedentary,Vegetarian,Overweight
104,5.3,42,Female,Lightly Active,Non Vegetarian,Obese
94,5.1,34,Male,Lightly Active,Non Vegetarian,Obese
95,5.3,37,Female,Lightly Active,Vegetarian,Obese
85,5.5,35,Female,Lightly Active,Non Vegetarian,Obese
118.5,5.95,43,Female,Lightly Active,Non Vegetarian,Underweight
117,5.51,33,Female,Sedentary,Non Vegetarian,Obese
88.45,5.4,29,Female,Sedentary,Non Vegetarian,Obese
64,5.05,35,Female,Sedentary,Non Vegetarian,Overweight
66,5.4,31,Female,Moderately Active,Non Vegetarian,Normal
69,5.4,50.5,Female,Very Active,Vegetarian,Overweight
66.95,5.2,24,Female,Very Active,Non Vegetarian,Overweight
69,5.4,37,Female,Lightly Active,Eggetarian,Overweight
69,5.2,33,Female,Moderately Active,Non Vegetarian,Overweight
89,5.2,33,Female,Moderately Active,Non Vegetarian,Obese
75,5.5,26,Female,Lightly Active,Non Vegetarian,Overweight
93,5.8,40,Female,Sedentary,Eggetarian,Overweight
78.5,5.4,30,Female,Lightly Active,Non Vegetarian,Overweight
73,5.6,32,Female,Sedentary,Vegetarian,Overweight
88,5.5,30,Female,Lightly Active,Vegetarian,Obese
94,5.7,33,Female,Moderately Active,Non Vegetarian,Obese
87,5.7,31,Female,Lightly Active,Eggetarian,Overweight
77,5.3,30,Female,Sedentary,Non Vegetarian,Overweight
70,5.2,36,Female,Sedentary,Eggetarian,Overweight
78,5.2,28,Female,Lightly Active,Non Vegetarian,Obese
66.95,5.2,23,Female,Moderately Active,Non Vegetarian,Overweight
66.95,5.2,23,Female,Moderately Active,Non Vegetarian,Overweight
76,5.4,38,Female,Sedentary,Eggetarian,Overweight
79,5.3,39,Female,Sedentary,Vegetarian,Obese
79,5.3,39,Female,Sedentary,Vegetarian,Obese
79.83,5.3,24,Female,Lightly Active,Non Vegetarian,Obese
58,5.2,37,Female,Moderately Active,Vegetarian,Normal
62.5,5.7,20,Female,Moderately Active,Vegetarian,Normal
86,5.7,34,Female,Lightly Active,Non Vegetarian,Overweight
78,5.4,25,Female,Moderately Active,Non Vegetarian,Overweight
79,5.6,33,Female,Sedentary,Non Vegetarian,Overweight
81,5,50.5,Female,Lightly Active,Eggetarian,Obese
93.7,5.4,28,Female,Sedentary,Vegetarian,Obese
79,5.2,45,Female,Moderately Active,Non Vegetarian,Obese
66.8,5.4,27,Female,Lightly Active,Non Vegetarian,Normal
66.8,5.4,27,Female,Lightly Active,Non Vegetarian,Normal
56,4.75,29,Female,Lightly Active,Non Vegetarian,Overweight
78,5.3,44,Female,Lightly Active,Eggetarian,Overweight
85,5.3,33,Female,Moderately Active,Non Vegetarian,Obese
57,5.4,31,Female,Sedentary,Non Vegetarian,Normal
94,5.1,34,Male,Lightly Active,Non Vegetarian,Obese
67,5.5,22,Female,Lightly Active,Vegetarian,Normal
70,5.4,30,Female,Moderately Active,Vegetarian,Overweight
75.45,5.3,35,Female,Lightly Active,Vegetarian,Overweight
71.9,5.5,44,Female,Lightly Active,Non Vegetarian,Overweight
77,5.2,28,Female,Lightly Active,Vegetarian,Obese
76,5.2,27,Female,Sedentary,Vegetarian,Obese
75,5,25,Female,Sedentary,Eggetarian,Obese
63,5.3,32,Female,Lightly Active,Non Vegetarian,Normal
61,5.1,43,Female,Sedentary,Eggetarian,Overweight
86,5.4,34,Female,Sedentary,Non Vegetarian,Obese
90,5.4,43,Female,Very Active,Non Vegetarian,Obese
75,5.2,33,Female,Lightly Active,Vegetarian,Overweight
69,5.4,31,Female,Lightly Active,Non Vegetarian,Overweight
63,5.3,28,Female,Lightly Active,Eggetarian,Normal
76,5.1,34,Female,Lightly Active,Vegetarian,Obese
82.4,5.6,25,Female,Sedentary,Non Vegetarian,Overweight
110,5.8,33,Male,Sedentary,Non Vegetarian,Obese
80.2,5.5,35,Female,Sedentary,Non Vegetarian,Overweight
63.6,5.1,37,Female,Lightly Active,Vegetarian,Overweight
65.2,5.2,28,Female,Lightly Active,Vegetarian,Overweight
118.5,5.11,27,Female,Moderately Active,Non Vegetarian,Obese
68,5.7,27,Female,Sedentary,Eggetarian,Normal
80,5.6,24,Female,Lightly Active,Vegetarian,Overweight
118.5,5.3,42,Female,Sedentary,Vegetarian,Obese
84,5.1,31,Female,Sedentary,Non Vegetarian,Obese
73,5.2,31,Female,Lightly Active,Vegetarian,Overweight
69,5.1,32,Female,Moderately Active,Vegetarian,Overweight
72,5.2,28,Female,Sedentary,Eggetarian,Overweight
68,5.4,50.5,Female,Very Active,Vegetarian,Overweight
60.78,5.3,39,Female,Lightly Active,Non Vegetarian,Normal
105,5.6,33,Male,Sedentary,Non Vegetarian,Obese
81,5.3,28,Female,Moderately Active,Non Vegetarian,Obese
95,5.2,33,Female,Sedentary,Non Vegetarian,Obese
80,5.6,37,Female,Sedentary,Non Vegetarian,Obese
67.2,5.2,21,Female,Moderately Active,Vegetarian,Overweight
75.75,5.6,37,Female,Lightly Active,Vegetarian,Overweight
88,5.2,50.5,Female,Lightly Active,Vegetarian,Obese
80,5.2,46,Female,Lightly Active,Vegetarian,Obese
87.7,5.3,27,Female,Very Active,Vegetarian,Obese
118.5,5.4,26,Female,Sedentary,Non Vegetarian,Obese
69,5.6,32,Female,Lightly Active,Non Vegetarian,Normal
79,5.6,30,Female,Sedentary,Non Vegetarian,Overweight
63,5.6,30,Female,Sedentary,Non Vegetarian,Normal
79,5.6,30,Female,Sedentary,Non Vegetarian,Overweight
79,5.6,30,Female,Sedentary,Non Vegetarian,Overweight
87,5.7,43,Female,Sedentary,Non Vegetarian,Overweight
107.5,5.6,41,Female,Sedentary,Non Vegetarian,Obese
107.5,5.6,41,Female,Sedentary,Non Vegetarian,Obese
118.5,5,38,Female,Moderately Active,Non Vegetarian,Obese
112,5.8,27,Female,Lightly Active,Non Vegetarian,Obese
112,5.8,27,Female,Lightly Active,Non Vegetarian,Obese
73,5.3,32,Female,Very Active,Non Vegetarian,Overweight
63,5.3,32,Female,Sedentary,Non Vegetarian,Normal
80,5.3,42,Female,Very Active,Non Vegetarian,Obese
89,5.6,22,Female,Moderately Active,Vegetarian,Obese
90,5.4,24,Female,Sedentary,Non Vegetarian,Obese
74,5,25,Female,Sedentary,Eggetarian,Obese
86,5.2,37,Female,Sedentary,Non Vegetarian,Obese
73.55,5.3,25,Female,Sedentary,Vegetarian,Overweight
68,5.3,39,Female,Moderately Active,Eggetarian,Overweight
84.3,5.5,42,Female,Lightly Active,Non Vegetarian,Overweight
102,5.4,28,Female,Sedentary,Eggetarian,Obese
76,5.3,43,Female,Moderately Active,Non Vegetarian,Overweight
102,5.4,28,Female,Very Active,Eggetarian,Obese
90,5.3,24,Female,Moderately Active,Non Vegetarian,Obese
72,5.2,33,Female,Moderately Active,Vegetarian,Overweight
77,5.4,34,Female,Very Active,Eggetarian,Overweight
82,5.4,33,Female,Sedentary,Vegetarian,Obese
73,5.2,35,Female,Sedentary,Non Vegetarian,Overweight
106,5.9,41,Female,Moderately Active,Non Vegetarian,Obese
72,5,41,Female,Sedentary,Vegetarian,Obese
87,5.3,24,Female,Lightly Active,Non Vegetarian,Obese
99,5.3,41,Female,Lightly Active,Vegetarian,Obese
118.5,5.9,32,Female,Sedentary,Non Vegetarian,Obese
83,5.6,34,Female,Lightly Active .,Vegetarian,Overweight
118.5,5.7,17,Female,Sedentary,Non Vegetarian,Obese
85,5.1,36,Female,Lightly Active,Vegetarian,Obese
81,5.4,29,Female,Lightly Active,Eggetarian,Overweight
74,5.2,38,Female,Lightly Active,Non Vegetarian,Overweight
73,5.4,25,Female,Very Active,Non Vegetarian,Overweight
87,5.4,44,Male,Moderately Active,Non Vegetarian,Obese
81.5,5.7,26,Female,Sedentary,Non Vegetarian,Overweight
79,5.7,30,Female,Lightly Active,Non Vegetarian,Overweight
89,5.5,28,Female,Very Active,Non Vegetarian,Obese
83,5.4,22,Female,Lightly Active,Non Vegetarian,Obese
85,5.4,28,Female,Moderately Active,Non Vegetarian,Obese
67.8,4.8,44,Female,Moderately Active,Non Vegetarian,Obese
90,5.7,32,Female,Very Active,Non Vegetarian,Overweight
65,5,23,Female,Lightly Active,Eggetarian,Overweight
98.6,5.5,50.5,Female,Moderately Active,Non Vegetarian,Obese
74.5,5.3,35,Female,Moderately Active,Eggetarian,Overweight
75,5.4,44,Female,Sedentary,Vegetarian,Overweight
62.8,4.75,32,Female,Sedentary,Non Vegetarian,Obese
61.6,5.6,39,Female,Moderately Active,Eggetarian,Normal
64,5.4,30,Female,Very Active,Non Vegetarian,Normal
69,5.4,20,Female,Lightly Active,Non Vegetarian,Overweight
118.5,5.5,31,Female,Lightly Active,Eggetarian,Obese
58.75,5.05,27,Female,Sedentary,Non Vegetarian,Normal
90,5.3,25,Female,Lightly Active,Non Vegetarian,Obese
83,5.3,27,Female,Moderately Active,Non Vegetarian,Obese
71,5.6,32,Female,Moderately Active,Non Vegetarian,Normal
94.2,5.7,30,Male,Sedentary,Non Vegetarian,Obese
92,5.4,34,Female,Sedentary,Non Vegetarian,Obese
92,5.7,34,Female,Sedentary,Vegetarian,Obese
79,5.6,30,Female,Sedentary,Non Vegetarian,Overweight
89,5.4,33,Female,Lightly Active,Non Vegetarian,Obese
90,5.11,35,Male,Moderately Active,Vegetarian,Obese
52,5.4,26,Female,Moderately Active,Vegetarian,Normal
100,5.2,31,Female,Sedentary,Non Vegetarian,Obese
71.15,5.1,35,Female,Moderately Active,Non Vegetarian,Overweight
55,5.2,34,Female,Lightly Active,Vegetarian,Normal
71,5,27,Female,Sedentary,Vegetarian,Obese
78,5.6,30,Female,Moderately Active,Eggetarian,Overweight
81,5.3,35,Female,Moderately Active,Vegetarian,Obese
110,5.11,32,Male,Moderately Active,Non Vegetarian,Obese
82,5,35,Female,Sedentary,Vegetarian,Obese
97.5,5.6,24,Female,Sedentary,Eggetarian,Obese
93,5.2,33,Female,Sedentary,Non Vegetarian,Obese
112,5.1,29,Female,Sedentary,Vegetarian,Obese
74.4,5.6,30,Female,Moderately Active,Vegetarian,Overweight
112,5.1,29,Female,Sedentary,Vegetarian,Obese
67,5.2,37,Female,Very Active,Eggetarian,Overweight
63,5.1,43,Female,Lightly Active,Non Vegetarian,Overweight
70,4.8,39,Female,Moderately Active,Non Vegetarian,Obese
88,5.5,45,Female,Moderately Active,Non Vegetarian,Obese
72,5.4,27,Female,Moderately Active,Non Vegetarian,Overweight
95,5.6,27,Female,Sedentary,Vegetarian,Obese
90,5.2,38,Male,Sedentary,Non Vegetarian,Obese
90,5.2,38,Male,Sedentary,Non Vegetarian,Obese
85,5.3,30,Female,Moderately Active,Non Vegetarian,Obese
77.2,5.3,14.5,Female,Very Active,Vegetarian,Overweight
78,5.1,38,Female,Sedentary,Vegetarian,Obese
42.5,5.1,38,Female,Lightly Active,Non Vegetarian,Underweight
86,5.3,45,Female,Sedentary,Vegetarian,Obese
84,5.6,29,Female,Moderately Active,Vegetarian,Overweight
83,5.8,36,Female,Lightly Active,Vegan,Overweight
90,5.3,39,Female,Sedentary,Non Vegetarian,Obese
81.45,5.05,38,Female,Sedentary,Eggetarian,Obese
82,5.1,37,Female,Lightly Active,Non Vegetarian,Obese
85.5,5.6,29,Female,Lightly Active,Vegetarian,Overweight
102.5,5.6,34,Female,Moderately Active,Vegetarian,Obese
64,5.1,29,Female,Lightly Active,Vegetarian,Overweight
78.6,5.3,44,Female,Lightly Active,Eggetarian,Obese
71,5.5,28,Female,Lightly Active,Non Vegetarian,Overweight
76,5.6,42,Male,Sedentary,Non Vegetarian,Overweight
60.25,5.4,30,Female,Sedentary,Vegetarian,Normal
82.6,5.6,38,Female,Sedentary,Non Vegetarian,Overweight
72.5,5.1,42,Female,Sedentary,Vegetarian,Obese
91,5.4,31,Female,Lightly Active,Vegetarian,Obese
78.9,5.3,35,Female,Lightly Active,Non Vegetarian,Obese
118.5,5.95,36,Male,Lightly Active,Vegetarian,Obese
73,5.4,38,Female,Sedentary,Vegetarian,Overweight
88,5.3,45,Female,Lightly Active,Eggetarian,Obese
70.5,5.3,41,Female,Lightly Active,Vegetarian,Overweight
92,5.4,27,Female,Sedentary,Non Vegetarian,Obese
99.5,5.3,37,Female,Sedentary,Vegetarian,Obese
62,5.2,50.5,Female,Moderately Active,Non Vegetarian,Normal
80,5.2,40,Female,Moderately Active,Non Vegetarian,Obese
89,5.3,24,Female,Moderately Active,Vegetarian,Obese
84,5.3,32,Female,Lightly Active,Vegetarian,Obese
77.65,5.3,38,Female,Lightly Active,Non Vegetarian,Overweight
80,5.3,27,Female,Sedentary,Non Vegetarian,Obese
79,5.4,31,Female,Lightly Active,Non Vegetarian,Overweight
77.65,5.3,38,Female,Lightly Active,Non Vegetarian,Overweight
66,5.2,27,Female,Sedentary,Eggetarian,Overweight
89,5.3,27,Female,Lightly Active,Eggetarian,Obese
77,5,47,Female,Sedentary,Eggetarian,Obese
64,5.3,41,Female,Sedentary,Non Vegetarian,Normal
80.2,5,33,Female,Sedentary,Vegetarian,Obese
106.6,5.6,31,Female,Sedentary,Non Vegetarian,Obese
65,5.4,28,Female,Lightly Active,Vegetarian,Normal
82,5.2,32,Female,Lightly Active,Non Vegetarian,Obese
98,5.6,36,Female,Sedentary,Non Vegetarian,Obese
64.3,5.4,18,Female,Sedentary,Vegetarian,Normal
91,5.4,39,Female,Sedentary,Vegetarian,Obese
74,5.2,37,Female,Sedentary,Non Vegetarian,Overweight
71,5.3,35,Female,Lightly Active,Eggetarian,Overweight
72,5.2,34,Female,Lightly Active,Vegetarian,Overweight
92,5.4,35,Female,Moderately Active,Eggetarian,Obese
81.5,5.2,26,Female,Lightly Active,Non Vegetarian,Obese
95,5.5,25,Female,Sedentary,Non Vegetarian,Obese
75,5.2,40,Female,Lightly Active,Vegetarian,Overweight
89,5.3,26,Female,Lightly Active,Eggetarian,Obese
78.9,5.4,33,Female,Sedentary,Vegetarian,Overweight
93,5.6,30,Female,Sedentary,Vegetarian,Obese
50,4.75,34,Female,Sedentary,Eggetarian,Obese
78.4,5.6,33,Female,Sedentary,Non Vegetarian,Overweight
90,5.7,43,Male,Very Active,Non Vegetarian,Overweight
76,5.2,34,Female,Sedentary,Vegetarian,Obese
94,5.5,35,Female,Moderately Active,Non Vegetarian,Obese
61.5,5.3,38,Female,Moderately Active,Non Vegetarian,Normal
118,5.4,27,Female,Sedentary,Vegetarian,Obese
94.25,5.6,29,Female,Sedentary,Vegetarian,Obese
87.7,5.8,29,Female,Sedentary,Non Vegetarian,Overweight
76.5,5.4,32,Female,Sedentary,Non Vegetarian,Overweight
75,5.95,29,Female,Sedentary,Vegetarian,Normal
83,5.7,27,Female,Lightly Active,Non Vegetarian,Overweight
72,5.2,26,Female,Lightly Active,Eggetarian,Overweight
78,5.8,28,Female,Moderately Active,Non Vegetarian,Normal
96,5.3,23,Female,Sedentary,Vegetarian,Obese
56.1,4.75,38,Female,Sedentary,Vegan ,Obese
83,5.4,37,Female,Moderately Active,Eggetarian,Obese
104,5.3,26,Female,Sedentary,Non Vegetarian,Obese
76,5.3,25,Female,Sedentary,Non Vegetarian,Overweight
89,5.3,27,Female,Sedentary,Vegetarian,Obese
68,5.3,25,Female,Sedentary,Vegetarian,Overweight
98,5.3,35,Female,Sedentary,Non Vegetarian,Obese
63,5.1,36,Female,Lightly Active,Vegetarian,Overweight
74,5.2,33,Female,Moderately Active,Vegetarian,Overweight
74,5.2,33,Female,Moderately Active,Vegetarian,Overweight
74,5.2,33,Female,Moderately Active,Eggetarian,Overweight
72,5.2,33,Female,Lightly Active,Non Vegetarian,Overweight
118.5,5.11,28,Male,Lightly Active,Vegetarian,Obese
75,5.2,41,Female,Moderately Active,Vegan,Overweight
75,5.2,41,Female,Moderately Active,Vegan,Overweight
100.8,5.9,41,Female,Lightly Active,Vegetarian,Obese
112,5.3,35,Female,Sedentary,Non Vegetarian,Obese
74,5.5,43,Female,Lightly Active,Non Vegetarian,Overweight
86,5.2,29,Female,Sedentary,Vegetarian,Obese
90,5.7,48,Female,Moderately Active,Eggetarian,Overweight
118.5,5.95,36,Male,Lightly Active,Non Vegetarian,Obese
80,5.6,28,Female,Sedentary,Non Vegetarian,Obese
83,5.2,32,Female,Lightly Active,Non Vegetarian,Obese
102,5.4,38,Female,Sedentary,Non Vegetarian,Obese
82,5,31,Female,Sedentary,Non Vegetarian,Obese
60,5.1,34,Female,Moderately Active,Eggetarian,Normal
73,5.5,36,Female,Sedentary,Vegetarian,Overweight
76,5.3,25,Female,Lightly Active,Non Vegetarian,Overweight
65,5,32,Female,Sedentary,Non Vegetarian,Overweight
84,5.6,36,Female,Lightly Active,Vegetarian,Overweight
57,5.3,34,Female,Sedentary,Vegetarian,Normal
73.2,5.6,40,Female,Moderately Active,Vegetarian,Overweight
79,5.3,34,Female,Lightly Active,Non Vegetarian,Obese
88,5.7,47,Male,Lightly Active,Non Vegetarian,Overweight
80,5,32,Female,Lightly Active,Non Vegetarian,Obese
65,5.2,32,Female,Lightly Active,Eggetarian,Overweight
70,5.2,45,Female,Lightly Active,Non Vegetarian,Overweight
73.5,5.5,30,Female,Sedentary,Non Vegetarian,Overweight
70,5,20,Female,Very Active,Non Vegetarian,Obese
66,5.2,37,Female,Very Active,Non Vegetarian,Overweight
66,4.9,32,Female,Sedentary,Non Vegetarian,Overweight
69,5.3,33,Female,Moderately Active,Eggetarian,Overweight
78,5.3,24,Female,Lightly Active,Non Vegetarian,Overweight
65,5.4,28,Female,Sedentary,Non Vegetarian,Normal
81.5,5.2,37,Female,Lightly Active,Eggetarian,Obese
110,5.7,30,Female,Sedentary,Non Vegetarian,Obese
83,5.6,25,Female,Sedentary,Vegetarian,Overweight
110,5.7,30,Female,Sedentary,Non Vegetarian,Obese
110,5.7,30,Female,Sedentary,Non Vegetarian,Obese
110,5.7,30,Female,Sedentary,Non Vegetarian,Obese
97,5.7,30,Male,Lightly Active,Non Vegetarian,Obese
71.5,5.5,38,Female,Moderately Active,Eggetarian,Overweight
81.7,5.3,25,Female,Sedentary,Vegetarian,Obese
86,5.2,27,Female,Moderately Active,Non Vegetarian,Obese
86,5.9,24,Female,Moderately Active,Vegetarian,Overweight
73,5.3,32,Female,Lightly Active,Non Vegetarian,Overweight
90,5.4,20,Female,Lightly Active,Vegetarian,Obese
64,4.75,26,Female,Sedentary,Non Vegetarian,Obese
91,5.1,24,Female,Sedentary,Eggetarian,Obese
68,5,35,Female,Lightly Active,Vegetarian,Overweight
68,5,35,Female,Lightly Active,Vegetarian,Overweight
91,5.1,34,Female,Sedentary,Eggetarian,Obese
85,5,44,Female,Lightly Active,Eggetarian,Obese
76,5.8,26,Female,Lightly Active,Eggetarian,Normal
90,5.6,42,Female,Sedentary,Eggetarian,Obese
73,5,32,Female,Sedentary,Vegetarian,Obese
79,5.3,34,Female,Lightly Active,Non Vegetarian,Obese
89,5.5,28,Female,Sedentary,Eggetarian,Obese
73,5.2,38,Female,Moderately Active,Eggetarian,Overweight
73,5.5,32,Female,Lightly Active,Non Vegetarian,Overweight
83,5.5,24,Female,Sedentary,Non Vegetarian,Overweight
77,5.2,20,Female,Moderately Active,Non Vegetarian,Obese
77,5.2,20,Female,Moderately Active,Non Vegetarian,Obese
87,5.3,31,Female,Moderately Active,Vegetarian,Obese
86.5,5.5,36,Female,Sedentary,Non Vegetarian,Obese
88,5.3,29,Female,Moderately Active,Non Vegetarian,Obese
90,5.4,43,Female,Sedentary,Non Vegetarian,Obese
88,5.4,30,Female,Lightly Active,Non Vegetarian,Obese
87,5.2,24,Female,Sedentary,Non Vegetarian,Obese
87,5.4,41,Female,Lightly Active,Non Vegetarian,Obese
65,4.75,28,Female,Lightly Active,Vegetarian,Obese
78,5.3,30,Female,Very Active,Eggetarian,Overweight
65.1,5.3,29,Female,Lightly Active,Non Vegetarian,Normal
113,5.7,35,Male,Sedentary,Non Vegetarian,Obese
102,5.95,35,Male,Sedentary,Eggetarian,Obese
70,5.2,36,Female,Sedentary,Eggetarian,Overweight
